duration_minutes,duration_seasons,type,title,date_added,release_year,rating,description,show_id
100,,Movie,Still,9/14/2018,2010,TV-MA,"A haunted hotel, a body in a water tank, a nightclub fire and a prison death comprise four horror tales taken from Thailand's newspaper headlines.",80999985
,1,TV Show,Super Monsters Monster Party,9/14/2018,2018,TV-Y,"Sing along and move to this groovy collection of music videos featuring monster friends Katya, Lobo, Zoe, Drac, Cleo and Frankie!",81002336
114,,Movie,The Angel,9/14/2018,2018,TV-MA,"As his country prepares for war, top Egyptian official Ashraf Marwan makes contact with Israel and wades into a shadowy game of high-stakes espionage.",80188120
98,,Movie,The Land of Steady Habits,9/14/2018,2018,TV-MA,"After leaving his wife and his job to find happiness, Anders begins a clumsy, heartbreaking quest to reassemble the pieces of his fractured life.",80164779
,1,TV Show,The Rise of Phoenixes,9/14/2018,2018,TV-14,"When a secret from the past rears its head, a respected court scholar must choose between avenging her family and staying true to the prince she loves.",80993613
106,,Movie,American Warfighter,9/13/2019,2019,TV-MA,"A Navy SEAL haunted by wartime memories tries to rebuild his life at home, even as one last mission threatens to unravel everything.",81092328
87,,Movie,Deviant Love,9/13/2019,2019,TV-14,"In a tailspin after her marriage collapses, Jamie falls for a helpful gentleman whose interest in her welfare hides sinister motives.",81183572
90,,Movie,Head Count,9/13/2019,2018,TV-MA,A group of college students on a weekend getaway accidentally summon a supernatural entity intent on using them for its deadly ritual.,81037283
65,,Movie,"Hello, Privilege. It's Me, Chelsea",9/13/2019,2019,TV-MA,"In this documentary, Chelsea Handler explores how white privilege impacts American culture – and the ways it’s benefited her own life and career.",80244973
,1,TV Show,Kabaneri of the Iron Fortress: The Battle of Unato,9/13/2019,2019,TV-MA,"Ikoma and the Iron Fortress take their fight to the battlegrounds of Unato, joining the alliance to reclaim the region from the kabane horde.",81095103
105,,Movie,Locked on You,9/13/2019,2018,TV-14,"When his chatty nature lands him in trouble, an unlucky meatball seller flees Istanbul and finds a new life on a beautiful island.",81132438
,1,TV Show,Marianne,9/13/2019,2019,TV-MA,"Lured back to her hometown, a famous horror writer discovers that the evil spirit who plagues her dreams is now wreaking havoc in the real world.",80217779
,1,TV Show,Monarca,9/13/2019,2019,TV-MA,"After 20 years, Ana María returns to Mexico and vies for control of her family's tequila empire as it threatens to crumble under corruption and secrets.",80211572
107,,Movie,Shanghai Fortress,9/13/2019,2019,TV-14,A young man falls for a heroic general and soon follows her footsteps as humans defend Earth against extraterrestrials seeking a precious energy source.,81161230
103,,Movie,Tall Girl,9/13/2019,2019,TV-PG,"After years of slouching through life, 6-foot-1 teen Jodi resolves to conquer her insecurities and gets caught up in a high school love triangle.",81002412
88,,Movie,Time Trap,9/13/2019,2018,TV-14,"While searching for their missing archaeology professor, a group of students discovers a cave where time passes differently than it does on the surface.",81023636
,1,TV Show,Top Boy,9/13/2019,2019,TV-MA,"Two seasoned drug dealers return to the gritty streets of London, but their pursuit of money and power is threatened by a young and ruthless hustler.",80217669
,1,TV Show,Unbelievable,9/13/2019,2019,TV-MA,"After a young woman is accused of lying about a rape, two female detectives investigate a spate of eerily similar attacks. Inspired by true events.",80153467
100,,Movie,Reversing Roe,9/13/2018,2018,TV-14,"Through interviews with abortion rights supporters and opponents, this film lifts the lid on a decades-long political campaign to overturn Roe v. Wade.",80192834
78,,Movie,Ghost of the Mountains,9/13/2017,2017,G,An international group of filmmakers sets out on a mission to get up close and personal with a family of elusive snow leopards.,80198046
25,,Movie,Extremis,9/13/2016,2016,TV-PG,"Witness the wrenching emotions that accompany end-of-life decisions as doctors, patients and families in a hospital ICU face harrowing choices.",80106307
,1,TV Show,The I-Land,9/12/2019,2019,TV-MA,"Wiped clean of memories and thrown together, a group of strangers fight to survive harsh realities – and the island that traps them.",80993062
,1,TV Show,"The Mind, Explained",9/12/2019,2019,TV-14,"Ever wonder what's happening inside your head? From dreaming to anxiety disorders, discover how your brain works with this illuminating series.",81098586
96,,Movie,Turbo,9/12/2019,2013,PG,A speed-obsessed snail who dreams of being the world's greatest race car driver gets his chance when an accident imbues him with high-octane speed.,70267728
,1,TV Show,Life,9/12/2018,2018,TV-MA,"At Korea's top university medical center, ideals and interests collide between a patient-centered ER doctor and the hospital's newly-appointed CEO.",81011508
100,,Movie,On My Skin,9/12/2018,2018,TV-MA,"Arrested in Rome for a drug-related offense, Stefano Cucchi endures a harrowing week in custody that changes his family forever. Based on true events.",81001000
40,,Movie,Heroin(e),9/12/2017,2017,TV-14,"This documentary follows three women – a fire chief, a judge and a street missionary – as they battle West Virginia's devastating opioid epidemic.",80192445
71,,Movie,Jeff Dunham: Relative Disaster,9/12/2017,2017,TV-MA,Ventriloquist Jeff Dunham brings his rude and slightly demented posse of puppets to Ireland for a gleeful skewering of family and politics.,80158670
,1,TV Show,Daniel Sloss: Live Shows,9/11/2018,2018,TV-MA,"Comedian Daniel Sloss is ready to find the funny in some very dark topics, from the deeply personal to the truly irreverent.",80223685
,1,TV Show,If I were an Animal,9/11/2018,2018,TV-Y,"Curious kids Emma and her big brother Tim observe different animals as they make their way through various life milestones, from birth to adulthood.",80189586
123,,Movie,The Resistance Banker,9/11/2018,2018,TV-MA,"Risking his family and future, a banker in occupied Amsterdam slows the Nazi war machine by creating an underground bank to fund the resistance.",80244019
89,,Movie,The Forgotten,9/11/2017,2014,TV-MA,"After a teenager goes to live with his father in abandoned public housing, he hears strange noises and decides to investigate with his new friend.",80162143
67,,Movie,Bill Burr: Paper Tiger,9/10/2019,2019,TV-MA,"Bill Burr unloads on outrage culture, male feminism, cultural appropriation, robot sex and more in a blistering stand-up special shot in London.",81060174
140,,Movie,Eat Pray Love,9/10/2019,2010,PG-13,"After deciding to reshape her life after divorce, Liz travels around the world in search of good food, spirituality and true love.",70130445
96,,Movie,Evelyn,9/10/2019,2019,TV-MA,"Haunted by the suicide of a brother, a director and his kin walk across the U.K. in an emotionally trying, visually sublime journey toward healing.",80216928
93,,Movie,Our Godfather,9/10/2019,2019,TV-MA,"In 1986, Tommaso Buscetta became the first top-level Mafia boss ever to testify against the mob. It cost him and his family everything.",81001494
,1,TV Show,Terrace House: Tokyo 2019-2020,9/10/2019,2019,TV-MA,"Six strangers share a fabulous house in Tokyo, looking for love while living under the same roof. With no script, what happens next is all up to them.",81077065
86,,Movie,"My Teacher, My Obsession",9/10/2018,2018,TV-14,"When Riley changed schools, she didn't expect the girls to crush on her English teacher dad. And he didn't expect a disturbing infatuation.",80991570
96,,Movie,68 Kill,9/1/2019,2017,R,A hapless guy agrees to help his stunning – but psychotic – girlfriend rob her loathsome sugar daddy in a scheme as ill-conceived as it is violent.,80184129
102,,Movie,American Psycho,9/1/2019,2000,R,"With chiseled good looks that belie his insanity, a businessman takes pathological pride in yuppie pursuits and indulges in sudden homicidal urges.",60000861
108,,Movie,Dante's Peak,9/1/2019,1997,PG-13,"When a volcanologist comes to investigate the recent rumblings of a dormant volcano, a massive eruption has everyone in town fighting for their lives.",1151375
81,,Movie,Elena,9/1/2019,2012,TV-14,"In this documentary, the director remembers a sister who left behind her life under Brazil’s dictatorship and moved to New York with dreams of acting.",81137484
102,,Movie,First Kill,9/1/2019,2017,R,"A stock broker brings his young son back to the town where he grew up for a hunting trip, but things take a dangerous turn when they witness a crime.",80187228
93,,Movie,For the Birds,9/1/2019,2018,TV-MA,"A woman with a passion for fowl keeps a menagerie of birds that draws the ire of neighbors, animal rights advocates and even her own family.",81031008
87,,Movie,Igor,9/1/2019,2008,PG,"Igor, the brilliant but deformed assistant to mad Dr. Glickenstein, dreams of winning the Evil Science Fair and the heart of village beauty Gretchen.",70099119
94,,Movie,Just Friends,9/1/2019,2005,PG-13,"Years after high school, a once-portly nice guy comes home for the holidays and reunites with a former crush he still has feelings for.",70039185
,1,TV Show,Loo Loo Kids: Johny & Friends Musical Adventures,9/1/2019,2016,TV-Y,"Music-loving baby Johny goes on dance-filled adventures with his family, friends and adorable critters in this colorful, animated preschooler series.",81073764
100,,Movie,Mokalik (Mechanic),9/1/2019,2019,TV-14,A young boy's life shifts when he's sent to work at a mechanic's shop far from his suburban home until an opportunity forces him to make a tough choice.,81165769
88,,Movie,Mr. Woodcock,9/1/2019,2007,PG-13,"When a self-help author learns that his mother has fallen for his sadistic high school gym teacher, he tries to put a stop to their budding romance.",70056433
109,,Movie,My Sister's Keeper,9/1/2019,2009,PG-13,A former defense attorney finds herself back in court when she and her husband are sued for medical emancipation by their 11-year-old daughter.,70113003
138,,Movie,Mystic River,9/1/2019,2003,R,"Tragedy reunites childhood friends Sean, Dave and Jimmy when they're linked together in a murder investigation about Jimmy's teenage daughter.",60031232
149,,Movie,1-Oct,9/1/2019,2014,TV-MA,"Against the backdrop of Nigeria's looming independence from Britain, detective Danladi Waziri races to capture a killer terrorizing local women.",80032842
82,,Movie,Olmo & the Seagull,9/1/2019,2014,TV-MA,A pregnancy forces an actress out of her latest play and into a difficult confrontation with her own rapidly transforming reflection.,81137482
86,,Movie,Open Season,9/1/2019,2006,PG,"After saving a deer from a hunter's clutches, a domesticated grizzly finds himself relocated to the wild – and unprepared for the real world.",70043308
112,,Movie,Phone Swap,9/1/2019,2012,TV-14,A fashion designer and an arrogant businessman reluctantly try to help each other after accidentally swapping phones in the airport.,81165771
98,,Movie,Poseidon,9/1/2019,2006,PG-13,"A tidal wave spells disaster for a ship of New Year's Eve revelers when it capsizes the mammoth vessel, sending passengers into a battle for survival.",70044697
113,,Movie,Rachel Getting Married,9/1/2019,2008,R,Longstanding family conflicts resurface when a former model who's been in and out of rehab for a decade returns home for her sister's wedding.,70105368
,1,TV Show,Serial Killer with Piers Morgan,9/1/2019,2018,TV-14,"Through intense prison interviews, Piers Morgan revisits the crimes of three convicted serial killers and learns more about their motives.",80241003
47,,Movie,Spookley the Square Pumpkin,9/1/2019,2004,G,"When a storm terrorizes his patch, a pumpkin cast out for his shape must step up to use his smarts to save the day – and to prove himself.",81141689
106,,Movie,Stripes,9/1/2019,1981,R,"After losing everything, an indolent sad sack impulsively joins the U.S. Army and cajoles his best friend into enlisting, too.",1008581
113,,Movie,Superbad,9/1/2019,2007,R,Two best friends' quest to buy booze for a party in the hopes of scoring with girls leads them on a series of wacky misadventures.,70058023
119,,Movie,The Bridge,9/1/2019,2017,TV-14,A Yoruba prince and a young lady from a prominent Igbo family face tribal prejudice and parental pressure when they secretly wed.,81165786
109,,Movie,The CEO,9/1/2019,2016,TV-14,A group of executives heads to a telecommunications retreat to pick the firm's new CEO until they find themselves in a contest to win – and stay alive.,81165770
98,,Movie,The Lake House,9/1/2019,2006,PG,"A lonely doctor begins writing letters to the frustrated architect who lives in her former home, only to discover that they're living two years apart.",70043303
88,,Movie,The Last Exorcism,9/1/2019,2010,PG-13,"Ready to expose his miraculous deeds as mere trickery, a famed evangelist invites a documentary crew to film his final exorcism.",70136074
116,,Movie,The Saint,9/1/2019,1997,PG-13,"Hired by a Russian politician to steal the formula for cold fusion, master thief Simon Templar falls for the scientist who has unlocked the secret.",1153194
106,,Movie,The Taking of Pelham 123,9/1/2019,2009,R,"When a group of hijackers takes passengers aboard a subway train hostage and demand a ransom, it's up to dispatcher Walter Garber to bring them down.",70112730
,1,TV Show,Transformers Rescue Bots Academy,9/1/2019,2019,TV-Y,"As part of the first class at the Rescue Bots Academy, five Cybertron recruits train under their skilled teachers and take on daring rescue missions.",81154900
,1,TV Show,Transformers: Cyberverse,9/1/2019,2018,TV-Y7,Optimus Prime and the AllSpark are missing – and only a memory-scrambled Bumblebee holds the key to finding them in this animated sci-fi series.,81154956
95,,Movie,Uncle Naji in UAE,9/1/2019,2019,TV-14,"Two young Yemeni business partners decide to go on vacation in the UAE with a few local friends, but their fun trip soon turns terrifying.",81158575
95,,Movie,Used Goods,9/1/2019,2018,TV-MA,"To evade greedy pharmaceutical crooks, a medical scientist disguises himself as a struggling salesman to protect his groundbreaking cancer research.",81065786
113,,Movie,You Don't Mess with the Zohan,9/1/2019,2008,UR,An Israeli counterterrorism soldier with a secretly fabulous ambition to become a Manhattan hairstylist will do anything to make his dreams come true.,70087541
,1,TV Show,Age of Rebellion,9/1/2018,2018,TV-MA,"At their high school, a group of unruly teens wreak havoc, face bullies and navigate turbulent lives beyond school grounds.",81004113
122,,Movie,Barça Dreams,9/1/2018,2015,TV-14,Explore the history and philosophies behind one of the world's most beloved – and successful – soccer franchises: FC Barcelona.,81003984
110,,Movie,Brick,9/1/2018,2005,R,Teenage loner Brendan Fry navigates his high school's intense social network to discover a killer's identity after his secret crush is murdered.,70024088
104,,Movie,Carbon,9/1/2018,2017,TV-MA,"On the verge of losing his business, an entrepreneur launches a carbon tax scam that thrusts him into a web of criminals, intrigue and murder.",81005312
96,,Movie,Delirium,9/1/2018,2018,R,A man with a history of mental issues moves into his late parents' mansion and comes to suspect his new home may be haunted.,80082969
109,,Movie,Garbage,9/1/2018,2018,TV-MA,The lives of a fundamentalist online troll and a woman reeling from a sex tape gone viral become dangerously intertwined in this provocative thriller.,80994130
95,,Movie,Hope Aur Hum,9/1/2018,2018,TV-14,"A multigenerational household navigates daily life, evolving relationships and clashes between old and new mindsets in this light family drama.",81019924
110,,Movie,??Kuch Bheege Alfaaz,9/1/2018,2018,TV-14,"After accidentally connecting over the Internet, two strangers form a tight friendship – not knowing they already share a bond.",81018240
110,,Movie,Love and Shukla,9/1/2018,2017,TV-MA,"A sexually inexperienced rickshaw driver struggles to build intimacy with his shy new wife in their tiny, overcrowded quarters.",81013710
79,,Movie,Murder Party,9/1/2018,2007,NR,"A mild-mannered office drone plucks a Halloween party invitation off the street and suddenly finds himself the main event at a ""murder party.""",70077076
101,,Movie,Once Again,9/1/2018,2018,TV-PG,"After a chance phone call leads to daily conversations, a widowed restaurant owner and a lonely film actor plan to finally meet in person.",81014988
112,,Movie,Pee Mak,9/1/2018,2013,TV-MA,"Mak's friends just want to protect him, but his wife Nak won't let a small thing like her own death get in the way of true love in this horror-comedy.",80102950
,1,TV Show,Sisters,9/1/2018,2018,TV-MA,Her dad's deathbed confession leads Julia to discover she has more than 100 brothers and two sisters: troubled TV star Roxy and uptight lawyer Edie.,80994108
94,,Movie,Solo Con Tu Pareja,9/1/2018,1991,NR,A yuppie playboy looks for a quick death after being falsely diagnosed with AIDS by a nurse who was once cheated by the young Casanova.,70055221
94,,Movie,Sparring,9/1/2018,2017,TV-14,A middle-aged boxer with a mixed record becomes a champion's sparring partner while dreaming of one last chance to end his career with a victory.,81005314
86,,Movie,Stephanie,9/1/2018,2017,R,"A menacing, unseen force stalks a young girl living by herself in a suburban house, where she's surrounded by reminders of her once-happy family.",80242828
84,,Movie,Terrifier,9/1/2018,2017,TV-MA,"On Halloween night, inside a dilapidated apartment building, Art the Clown stalks his victims, slicing and slaughtering in terrifying silence.",81004223
95,,Movie,The Keeping Hours,9/1/2018,2017,PG-13,"Years after the death of their only child and subsequent divorce, a couple discovers that their son's ghost continues to inhabit their former home.",80198730
93,,Movie,The Perfect Day,9/1/2018,2018,TV-14,"French soccer fans, celebrities and athletes retrace the exhilarating events of July 12, 1998, as France earned a historic win in the World Cup final.",80999945
113,,Movie,The Promise,9/1/2018,2017,TV-MA,"In the wake of the 1997 financial crisis, two teens whose families face bankruptcy make a suicide pact – but one of them breaks the promise.",81016043
111,,Movie,The River Wild,9/1/2018,1994,PG-13,"A turbulent vacation turns deadly when a fugitive and his crew kidnap a river rafting guide and her family, forcing them down the dangerous river.",17672040
,1,TV Show,The Road to Calvary,9/1/2018,2017,TV-14,"Swept up in political unrest during World War I, two sisters in St. Petersburg cope with turbulent romances as Russian history is made around them.",81004162
68,,Movie,???? ????? : ??? ??,9/1/2018,2018,TV-Y7-FV,"Miniforce, a special task force of elite rangers, takes on the Lizard Army to save Earth before it’s too late, in this prequel to the TV series.",81011096
,1,TV Show,A Boy Name Flora A,9/1/2017,2017,TV-MA,A 28-year-old layabout begins to re-examine his life when his dysfunctional family assembles to pay respects to a dying grandmother who won’t pass on.,80188969
,1,TV Show,A House of Blocks,9/1/2017,2017,TV-MA,"Yijuan and her mentally ill sister Kaiqi struggle to be happy in the face of misfortune, criminal intrigue, marital strife, an exorcism and a ghost.",80189155
148,,Movie,Aakhri Adaalat,9/1/2017,1988,TV-14,An intrepid police inspector forced into a desk job must take matters into his own hands when ruthless criminals are released on a technicality.,20254278
54,,Movie,"Alias JJ, la celebridad del mal",9/1/2017,2017,TV-14,"Witnesses and public figures respond to controversial claims about Pablo Escobar made by the Medellín Cartel's sole survivor, John Jairo Velásquez.",80203742
,1,TV Show,All About Love,9/1/2017,2017,TV-14,Mysterious ghosts – determined to reconnect with the living world – begin to cross over and disrupt the lives of those they left behind.,80189208
92,,Movie,Berserk: The Golden Age Arc II - The Battle for Doldrey,9/1/2017,2012,TV-MA,"For three years, Guts believed his mission was to pursue Griffith's dream together with him. But in order to become Griffith's equal and truly be called his friend, Guts realizes he will have to leave the Band of the Hawk.",70276596
107,,Movie,Berserk: The Golden Age Arc III - The Advent,9/1/2017,2013,TV-MA,"A year after he left the Band of the Hawk, Guts rejoins them in an epic battle to vanquish the God Hand and save Griffith from a hellish fate.",80063025
90,,Movie,Brother's Shadow,9/1/2017,2006,TV-14,"After serving time in jail, a disgraced son returns to the family business in New York, where he struggles to fill the shoes of his late twin brother.",70068739
135,,Movie,Chadi Jawani Budhe Nu,9/1/2017,1976,TV-PG,"After reaching his 40th birthday, an egotistical businessman kicks off his midlife crisis by deciding to secure a mistress.",80158389
52,,Movie,Concrete Football,9/1/2017,2016,TV-MA,"The development of professional soccer worldwide owes a great debt to the soccer – or ""football"" – that is played on the streets of France.",80184974
151,,Movie,Ek Jaan Hain Hum,9/1/2017,1983,TV-14,"While trying to win over his beloved’s parents, a young man is accused of arson, and his father soon realizes insanity may be his only defense.",80156941
,1,TV Show,FINAL FANTASY XIV Dad of Light,9/1/2017,2017,TV-PG,A father and son rekindle their bond through the online role-playing game Final Fantasy XIV in this live-action series based on a true story.,80178543
,1,TV Show,Gurren Lagann,9/1/2017,2007,TV-14,"When a young laborer escapes to the world aboveground, he discovers a violent land in which humans battle robots controlled by a power-hungry noble.",70213196
,1,TV Show,High Risk,9/1/2017,1988,TV-G,"From scientists to snake handlers, this series explores what motivates some people to put themselves in jeopardy to perform extraordinary feats.",70208520
90,,Movie,Incorruptible,9/1/2017,2015,TV-MA,"In the streets of Senegal, a youth movement rises up against a regime bent on retaining power in this chronicle of the nation's stormy 2012 elections.",80061314
88,,Movie,Inuyasha the Movie - L'isola del fuoco scarlatto,9/1/2017,2004,NR,"Ai, a young half-demon who has escaped from Horai Island to try to help his people, returns with potential saviors InuYasha, Sesshomaru and Kikyo.",70052492
99,,Movie,Inuyasha the Movie - La spada del dominatore del mondo,9/1/2017,2003,NR,The Great Dog Demon beaqueathed one of the Three Swords of the Fang to each of his two sons. Now the evil power of the third sword has been awakened.,70036200
99,,Movie,InuYasha: The Movie 2: The Castle Beyond the Looking Glass,9/1/2017,2002,NR,"With their biggest foe seemingly defeated, InuYasha and his friends return to everyday life. But the peace is soon shattered by an emerging new enemy.",70018513
132,,Movie,Khoon Khoon,9/1/2017,1973,TV-14,"As a crazed killer blazes a trail of blood through an anxious city, a hardened cop aims to take him down by any means in this remake of “Dirty Harry.”",80158480
,1,TV Show,LEGO Elves: Secrets of Elvendale,9/1/2017,2017,TV-Y7,"Armed with a powerful amulet, a teenage guardian is tasked with protecting her little sister – and all of Elvendale. Based on the popular web series.",80105933
95,,Movie,Little Evil,9/1/2017,2017,TV-MA,"In this horror-comedy, a recently married man who wants to bond with his stepson begins to fear that the boy is a demon.",80139506
155,,Movie,Lorai: Play to Live,9/1/2017,2015,TV-14,"Under a government initiative, a retired alcoholic soccer player is sent to establish a soccer team in a politically troubled area.",80205314
,1,TV Show,Maniac,9/1/2017,2015,TV-MA,"A nondescript man in a mental hospital has an exciting life of adventure and romance – in his head. He may be insane, or maybe he's just having fun.",80133200
162,,Movie,Manoranjan,9/1/2017,1974,TV-14,"After getting fired, a police officer connects with a prostitute he met on the job in a red-light district and sets out to keep her off the streets.",80158545
163,,Movie,Mujrim,9/1/2017,1989,TV-14,"Jailed as a teenager, Shankar has been unable to stay on the right side of the law ever since, despite his wife's pleas and his mother's rejection.",80156939
102,,Movie,Naruto Shippuden : Blood Prison,9/1/2017,2011,TV-14,"Mistakenly accused of an attack on the Fourth Raikage, ninja Naruto is imprisoned in the impenetrable Hozuki Castle and his powers are sealed.",80152537
96,,Movie,Naruto Shippûden the Movie: The Will of Fire,9/1/2017,2009,TV-14,"When four out of five ninja villages are destroyed, the leader of the one spared tries to find the true culprit and protect his land.",80045673
85,,Movie,Naruto Shippuden: The Movie: The Lost Tower,9/1/2017,2010,TV-14,"When Naruto is sent to recover a missing nin, the rogue manages to send him 20 years into the past, where he unites with his father to battle evil.",70275937
97,,Movie,Naruto the Movie 2: Legend of the Stone of Gelel,9/1/2017,2005,NR,"While on a mission to return a missing pet, Naruto and two fellow ninjas are ambushed by brutal knights led by the enigmatic Temujin.",70101321
95,,Movie,Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,9/1/2017,2006,NR,"Exuberant ninja Naruto teams up with his pals Sakura and Kakashi to escort Prince Michiru and his son, Hikaru, to the Crescent Moon kingdom.",70108386
83,,Movie,Naruto the Movie: Ninja Clash in the Land of Snow,9/1/2017,2004,NR,"Naruto, Sasuke and Sakura learn they'll be protecting an actress from being hurt while making her next film, but it turns out she's a princess.",70074559
89,,Movie,Offline - Das leben ist kein bonuslevel,9/1/2017,2016,TV-MA,Competitive gamer Jan finds his life thrown for a loop when his bitter rival hacks his identity just before a high-stakes tournament.,80162197
28,,Movie,Resurface,9/1/2017,2017,TV-MA,A suicidal war veteran finds like-minded souls in a surf therapy program that helps traumatized soldiers heal while riding the waves.,80184055
103,,Movie,Rocco,9/1/2017,2016,TV-MA,Italian porn star Rocco Siffredi is showcased in this documentary that shadows the legendary performer during his final year in front of the camera.,80160358
84,,Movie,She's Gotta Have It,9/1/2017,1986,R,"A free-spirited woman can't choose between a trio of ill-suited suitors: relationship-minded Jamie, shallow male model Greer and bike messenger Mars.",60034929
160,,Movie,Sohni Mahiwal,9/1/2017,1984,TV-PG,"After being violently separated from the woman he loves, a young man must disguise himself in order to keep meeting her.",80157134
113,,Movie,The Distinguished Citizen,9/1/2017,2016,TV-MA,"Worried he’s lost his artistic edge, a wealthy expat novelist returns to his backwater hometown in Argentina, where he’s regarded as a local hero.",80141891
99,,Movie,The Drowning,9/1/2017,2016,TV-MA,"Child psychologist Tom Seymour's testimony helped convict a boy of murder. Years later, their paths cross again, raising uncomfortable questions.",80183897
86,,Movie,The Guardian Brothers,9/1/2017,2016,TV-Y7-FV,"When a Chinese family's soup shop is targeted for sabotage by a competitor, two guardians from the spirit world leave retirement to protect them.",80177834
83,,Movie,The Last Shaman,9/1/2017,2016,TV-MA,"In a last-ditch effort to prevent suicide, a clinically depressed young man travels to the Amazon to engage in an ancient hallucinatory ritual.",80121855
113,,Movie,The Lost Brother,9/1/2017,2017,TV-MA,"While settling the affairs of his murdered mother and brother, a man partners with a local thug in a life insurance scam, putting him on a dark path.",80168028
,1,TV Show,Tip the Mouse,9/1/2017,2014,TV-Y,"In his tiny meadow village, curious little mouse Tip enjoys fun and adventure while learning about the world with his furry friends and family.",80200913
86,,Movie,Todo Sobre El Asado,9/1/2017,2016,TV-14,"This quirky examination of Argentina's culture, customs and cuisine slices into the country's traditional barbecue – which is both meal and ritual.",80190990
78,,Movie,Who the F**k Is That Guy?,9/1/2017,2017,TV-MA,"Take a ride through the life of record exec Michael Alago, a gay Puerto Rican New Yorker who signed a slew of musical acts, including Metallica.",80173269
111,,Movie,A Noble Intention,9/1/2016,2015,NR,"In 1888 Amsterdam, a headstrong violin maker finds himself immersed in peril and tragedy after challenging businessmen who threaten his community.",80106140
88,,Movie,Bon Bini Holland,9/1/2016,2015,TV-14,"On the island of Curaçao, an amiable scam artist angers gangsters and flees to Holland, where his conscience is torn between a woman and a new scheme.",80106137
,1,TV Show,Conspiracy,9/1/2016,2015,TV-14,"Skeptics and others discuss widely held conspiracy theories involving aliens, government cover-ups, secret assassinations and other intrigues.",80118873
,1,TV Show,Dead Set,9/1/2016,2008,TV-MA,"While the housemates in the Big Brother house remain oblivious, fast-moving hordes of the undead decimate the studio compound.",70229514
93,,Movie,Dukhtar,9/1/2016,2014,TV-14,A young mother embarks on a desperate quest for freedom when she kidnaps her 10-year-old daughter to save her from a tribal marriage.,80114155
,1,TV Show,Easy Fortune Happy Life,9/1/2016,2009,TV-14,"Years after a wealthy man is healed by a rural herbalist, fate lands him in the same hospital where the woman's granddaughter is treating patients.",70303288
29,,Movie,Figaro Pho,9/1/2016,2008,TV-Y7,Quirky little Figaro has a whole alphabet's worth of phobias. These wordless animated shorts follow his many fears from A to Z.,80118841
88,,Movie,Full Out,9/1/2016,2015,TV-PG,"After a debilitating accident ends her Olympic dreams, gymnast Ariana Berlin finds recovery and hope in the world of hip-hop and college athletics.",80102579
,1,TV Show,Game Winning Hit,9/1/2016,2009,TV-PG,An army deserter hiding out in a small coastal town becomes the coach of a youth baseball team and develops warm relationships in his new community.,80111273
103,,Movie,Holy Hell,9/1/2016,2016,NR,An ex-member charts his path from idealism to disenchantment in a California cult when alarming revelations about the group's leader come to light.,80097438
,1,TV Show,Lucky Days,9/1/2016,2010,TV-14,"When laidback Ren, who is about to divorce his money-crazy wife, finds a time-traveling computer, he decides to use it to reboot his marriage.",80111710
107,,Movie,Off Course,9/1/2016,2015,TV-MA,"Fed up with the uselessness of their degrees and swayed by a TV commercial, two Spaniards head to Berlin for work but find it not quite as advertised.",80114419
52,,Movie,Saudi Arabia Uncovered,9/1/2016,2016,TV-14,"Undercover cameras expose public floggings, executions and other brutality in Saudi Arabia, and introduce those risking their own lives for change.",80118888
,1,TV Show,Station Horizon,9/1/2016,2015,TV-MA,"Ex-con Joris returns to his Swiss hometown, a community obsessed with American culture and ideals, to start over and save his family's gas station.",80128337
,1,TV Show,The Fierce Wife,9/1/2016,2010,TV-14,Beautiful housewife Xie An Zhen seems to be living the perfect life but finds her world crumbling after learning that her husband is cheating on her.,70303289
,1,TV Show,The Womanizer,9/1/2016,2010,TV-PG,Libertine He-jie finds himself torn between the lovely Amanda and fiery Xiao-qian. But now he faces a new problem: arrogant rival suitor Cheng-en.,80111614
,1,TV Show,The Year of Happiness and Love,9/1/2016,2009,TV-14,"Jiang Chen-bo is a loser without prospects for success, until a surprise promotion becomes the catalyst for his entire family's upturn in fortune.",80111275
91,,Movie,We Need to Talk,9/1/2016,2016,TV-MA,"A happy woman's new love is going great, but she needs one thing: divorce papers from her depressed ex. To get them, trickery may be in order.",80103426
,1,TV Show,Witches: A Century of Murder,9/1/2016,2015,TV-14,"Historian Suzannah Lipscomb investigates the witch hunts that plagued Britain in the 17th century, examining common myths about their origin.",80118889
75,,Movie,Iliza Shlesinger: War Paint,9/1/2013,2013,NR,"""Last Comic Standing"" winner Iliza Shlesinger unleashes her acerbic, stream-of-conscious comedy on an unsuspecting audience in her hometown of Dallas.",70278877
106,,Movie,After,10/9/2019,2019,PG-13,"Wholesome college freshman Tessa Young thinks she knows what she wants out of life, until she crosses paths with complicated bad boy Hardin Scott.",80244311
87,,Movie,Home Is Where the Killer Is,10/9/2019,2019,TV-14,"Recovering from cancer, a young woman thinks she’s found a friend when she rents a room from a caring ex-doctor. But empathy soon becomes obsession.",81183570
,1,TV Show,Rhythm + Flow,10/9/2019,2019,TV-MA,"In this music competition show, judges Tip “T.I.” Harris, Cardi B and Chance the Rapper hit the streets to find the next rap superstar.",80216665
96,,Movie,Garuda Di Dadaku,10/9/2018,2009,TV-PG,"A determined boy will do anything to become a great soccer player, despite the wishes of his grandfather.",81016328
