director	show_id
Arnab Chaudhuri	70139073
Rana Ranbir	81024731
Anurag Basu	70219525
David Zucker	16914787
Momoko Kamiya	81020543
Momoko Kamiya	81020544
Harry Baweja	80039595
Ken Ghosh	70123120
Justin G. Dyck	80224055
Priyadarshan	70052249
Vivek Agnihotri	70084775
Umesh Shukla	70114588
Habib Faisal	70185139
Bobby Roth	80232501
Halder Gomes	80210147
Tony Zierra	80224606
Amitoj Mann	80058851
Raj Kumar Gupta	70219528
B. Unnikrishnan	70241088
Milan Luthria	70068799
Madhur Bhandarkar	70229044
Sajid Khan	70254349
Saji Surendran	70254342
Ksshitij Chaudhary	80084838
Abhishek Kapoor	70254346
Sundar C.	70229040
Gary Binkow	70056663
